# verdadeiro, estimado, estimulo, filtro
-30, -28.9655, sintetico_ITD-240_ILDzero_-30.wav, None
-60, -78.6207, sintetico_ITD-480_ILDzero_-60.wav, None
45, 46.5517, sintetico_ITD360_ILDzero_45.wav, None
30, 54.3103, sintetico_ITD240_ILDzero_30.wav, None
15, 38.0172, sintetico_ITD120_ILDzero_15.wav, None
30, 74.7414, sintetico_ITD240_ILDzero_30.wav, None
-60, -55.3448, sintetico_ITD-480_ILDzero_-60.wav, None
-15, -64.9138, sintetico_ITD-120_ILDzero_-15.wav, None
90, 62.8448, sintetico_ITD720_ILDzero_90.wav, None
15, 6.72414, sintetico_ITD120_ILDzero_15.wav, None
-30, -61.5517, sintetico_ITD-240_ILDzero_-30.wav, None
90, 56.1207, sintetico_ITD720_ILDzero_90.wav, None
-90, -75.5172, sintetico_ITD-720_ILDzero_-90.wav, None
-75, -89.4828, sintetico_ITD-600_ILDzero_-75.wav, None
30, 37.2414, sintetico_ITD240_ILDzero_30.wav, None
-75, -66.4655, sintetico_ITD-600_ILDzero_-75.wav, None
-60, -81.7241, sintetico_ITD-480_ILDzero_-60.wav, None
60, 48.3621, sintetico_ITD480_ILDzero_60.wav, None
0, 3.36207, sintetico_ITD0_ILDzero_0.wav, None
-90, -62.3276, sintetico_ITD-720_ILDzero_-90.wav, None
