# verdadeiro, estimado, estimulo, filtro
90, 55.295, sintetico_ITD720_ILDzero_90.wav, None
30, 45.7122, sintetico_ITD240_ILDzero_30.wav, None
90, 79.3813, sintetico_ITD720_ILDzero_90.wav, None
-15, -44.9353, sintetico_ITD-120_ILDzero_-15.wav, None
0, -25.7698, sintetico_ITD0_ILDzero_0.wav, None
-15, -48.8201, sintetico_ITD-120_ILDzero_-15.wav, None
75, 69.7986, sintetico_ITD600_ILDzero_75.wav, None
30, 31.2086, sintetico_ITD240_ILDzero_30.wav, None
-90, -61.2518, sintetico_ITD-720_ILDzero_-90.wav, None
60, 37.6835, sintetico_ITD480_ILDzero_60.wav, None
45, 37.6835, sintetico_ITD360_ILDzero_45.wav, None
-60, -26.0288, sintetico_ITD-480_ILDzero_-60.wav, None
-45, -28.1007, sintetico_ITD-360_ILDzero_-45.wav, None
-60, -34.8345, sintetico_ITD-480_ILDzero_-60.wav, None
30, 0.129496, sintetico_ITD240_ILDzero_30.wav, None
-45, -28.3597, sintetico_ITD-360_ILDzero_-45.wav, None
-15, -10.7482, sintetico_ITD-120_ILDzero_-15.wav, None
-75, -53.482, sintetico_ITD-600_ILDzero_-75.wav, None
15, -6.86331, sintetico_ITD120_ILDzero_15.wav, None
75, 48.0432, sintetico_ITD600_ILDzero_75.wav, None
-90, -55.295, sintetico_ITD-720_ILDzero_-90.wav, None
-30, -20.3309, sintetico_ITD-240_ILDzero_-30.wav, None
75, 63.3237, sintetico_ITD600_ILDzero_75.wav, None
45, 53.741, sintetico_ITD360_ILDzero_45.wav, None
-90, -64.3597, sintetico_ITD-720_ILDzero_-90.wav, None
